
> yckf-admin-dashboard@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.91.1:3000
✓ Ready in 606ms

 GET /api/admin/volunteer-stats 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET /dashboard/users 200 in 28ms (next.js: 4ms, application-code: 25ms)
 GET /api/users 200 in 38ms (next.js: 6ms, application-code: 33ms)
 GET /api/users 200 in 43ms (next.js: 6ms, application-code: 37ms)
 GET /dashboard/coupons 200 in 31ms (next.js: 4ms, application-code: 28ms)
 GET /api/coupons? 200 in 40ms (next.js: 7ms, application-code: 33ms)
 GET /api/coupons? 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /dashboard/site-stats 200 in 78ms (next.js: 49ms, application-code: 29ms)
 GET /api/site-stats/admin 200 in 114ms (next.js: 84ms, application-code: 30ms)
 GET /dashboard/login-logs 200 in 33ms (next.js: 6ms, application-code: 27ms)
 GET /api/admin/login-logs/stats 200 in 32ms (next.js: 11ms, application-code: 21ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 38ms (next.js: 4ms, application-code: 34ms)
 GET /api/admin/login-logs/stats 200 in 31ms (next.js: 5ms, application-code: 26ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 32ms (next.js: 7ms, application-code: 26ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 30ms (next.js: 6ms, application-code: 24ms)
✓ Compiled in 192ms
 GET /dashboard/login-logs 200 in 560ms (next.js: 140ms, application-code: 420ms)
 GET /api/admin/login-logs/stats 200 in 244ms (next.js: 101ms, application-code: 143ms)
 GET /dashboard/login-logs 200 in 250ms (next.js: 172ms, application-code: 77ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 258ms (next.js: 161ms, application-code: 97ms)
 GET / 200 in 613ms (next.js: 238ms, application-code: 375ms)
 GET /api/admin/login-logs/stats 200 in 79ms (next.js: 28ms, application-code: 51ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 164ms (next.js: 31ms, application-code: 133ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 35ms (next.js: 5ms, application-code: 30ms)
 GET /dashboard/login-logs 200 in 208ms (next.js: 4ms, application-code: 204ms)
 GET /api/auth/me 200 in 64ms (next.js: 41ms, application-code: 23ms)
 GET /api/admin/login-logs/stats 200 in 25ms (next.js: 5ms, application-code: 19ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 28ms (next.js: 10ms, application-code: 18ms)
 GET /dashboard/volunteer-stats 200 in 48ms (next.js: 19ms, application-code: 30ms)
 GET /api/admin/volunteer-stats 200 in 85ms (next.js: 57ms, application-code: 28ms)
 GET /api/admin/volunteer-stats 200 in 48ms (next.js: 3ms, application-code: 45ms)
 GET /dashboard/login-logs 200 in 26ms (next.js: 4ms, application-code: 23ms)
 GET /api/admin/login-logs/stats 200 in 34ms (next.js: 6ms, application-code: 28ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 38ms (next.js: 15ms, application-code: 23ms)
 GET /dashboard/login-logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /dashboard/login-logs 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET /dashboard/settings 200 in 52ms (next.js: 18ms, application-code: 35ms)
 GET /api/auth/me 200 in 30ms (next.js: 4ms, application-code: 26ms)
 GET /api/auth/me 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /api/auth/2fa/status 404 in 157ms (next.js: 27ms, application-code: 130ms)
 GET /api/auth/2fa/status 404 in 66ms (next.js: 7ms, application-code: 59ms)
 GET /dashboard/login-logs 200 in 32ms (next.js: 5ms, application-code: 28ms)
 GET /api/admin/login-logs/stats 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 26ms (next.js: 4ms, application-code: 22ms)
 GET /dashboard/volunteer-stats 200 in 27ms (next.js: 4ms, application-code: 24ms)
 GET /api/admin/volunteer-stats 200 in 36ms (next.js: 4ms, application-code: 33ms)
 GET /api/admin/volunteer-stats 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /dashboard/coupons 200 in 48ms (next.js: 18ms, application-code: 29ms)
 GET /api/coupons? 200 in 76ms (next.js: 46ms, application-code: 29ms)
 GET /api/coupons? 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /dashboard/users 200 in 48ms (next.js: 18ms, application-code: 30ms)
